,sequence
4NXQ_4ERY,28.12
4NXQ_4EWR,49.74
4NXQ_4F14,65.24
4NXQ_4GNE,8.43
4NXQ_4GQ6,58.11
4NXQ_4H39,49.11
4NXQ_4IKN,13.12
4NXQ_4J73,80.17
4NXQ_4J78,30.8
4NXQ_4J81,26.88
4NXQ_4JOE,248.99
4NXQ_4K75,253.1
4NXQ_4LN2,69.21
4NXQ_4LNP,59.08
4NXQ_4MDR,35.83
4NXQ_4NXQ,0.0
4NXQ_4O36,19.51
4NXQ_4WYU,312.54
4NXQ_4X3H,13.94
4NXQ_4XHV,276.59
4NXQ_4Y7R,19.14
4NXQ_4YSI,42.39
4NXQ_4ZHL,29.14
4NXQ_5A2J,19.76
4NXQ_5CFA,72.48
4NXQ_5E1D,67.57
4NXQ_5E2Q,52.92
4NXQ_5GP7,17.02
4NXQ_5GU4,1.31
4NXQ_5HEB,282.56
4NXQ_5HEY,297.13
4NXQ_5WOU,330.05
4NXQ_5XHZ,84.52
4NXQ_5YGF,17.38
4NXQ_6CDG,45.89
4NXQ_6EVN,31.72
4NXQ_6IM4,17.82
4O36_1CKA,0.32
4O36_1D4T,9.27
4O36_1ELW,11.05
4O36_1FCH,10.85
4O36_1GWR,14.41
4O36_1JD5,16.07
4O36_1LB6,15.89
4O36_1MF4,13.06
4O36_1MFG,12.94
4O36_1OAI,16.21
4O36_1T7R,22.68
4O36_1X2R,-2.94
4O36_1YWO,-0.65
4O36_2HO2,-3.88
4O36_2O9V,-0.08
4O36_2OEI,0.35
4O36_2PEH,14.66
4O36_2PV1,25.5
4O36_2QBW,15.57
4O36_2WA8,18.47
4O36_2XRW,9.53
4O36_3ASL,4.31
4O36_3CH8,11.76
4O36_3D9T,26.35
4O36_3DIW,25.66
4O36_3DRF,20.02
4O36_3DRG,19.95
4O36_3EMH,-3.44
4O36_3IQG,14.58
4O36_3IVV,-0.29
4O36_3L3X,20.26
4O36_3OBQ,9.23
4O36_3R42,14.94
4O36_3RYB,20.5
4O36_3SO6,18.68
4O36_3SOU,-3.75
4O36_3UPV,11.31
4O36_3UVK,-5.27
4O36_3UVM,-3.18
4O36_4AIF,23.52
4O36_4APO,22.2
4O36_4CC2,0.04
4O36_4CY1,1.26
4O36_4E3B,24.88
4O36_4EQJ,10.31
4O36_4ERY,1.25
4O36_4EWR,3.84
4O36_4F14,-2.76
4O36_4GNE,-0.65
4O36_4GQ6,18.19
4O36_4H39,26.49
4O36_4IKN,5.26
4O36_4J73,-2.87
4O36_4J78,3.86
4O36_4J81,4.01
4O36_4JOE,18.02
4O36_4K75,19.48
4O36_4LN2,0.03
4O36_4LNP,-2.01
4O36_4MDR,-8.18
4O36_4NXQ,19.51
4O36_4O36,0.0
4O36_4WYU,24.33
4O36_4X3H,14.99
4O36_4XHV,17.71
4O36_4Y7R,-5.65
4O36_4YSI,0.29
4O36_4ZHL,8.17
4O36_5A2J,-5.36
4O36_5CFA,6.93
4O36_5E1D,13.57
4O36_5E2Q,15.23
4O36_5GP7,13.95
4O36_5GU4,20.56
4O36_5HEB,19.23
4O36_5HEY,19.36
4O36_5WOU,19.17
4O36_5XHZ,4.28
4O36_5YGF,24.58
4O36_6CDG,17.14
4O36_6EVN,17.86
4O36_6IM4,13.73
4WYU_1CKA,43.06
4WYU_1D4T,64.04
4WYU_1ELW,1.29
4WYU_1FCH,-50.02
4WYU_1GWR,30.08
4WYU_1JD5,31.24
4WYU_1LB6,50.51
4WYU_1MF4,-5.8
4WYU_1MFG,461.7
4WYU_1OAI,9.3
4WYU_1T7R,11.95
4WYU_1X2R,34.35
4WYU_1YWO,47.66
4WYU_2HO2,19.04
4WYU_2O9V,47.26
4WYU_2OEI,28.93
4WYU_2PEH,5.2
4WYU_2PV1,15.69
4WYU_2QBW,474.82
4WYU_2WA8,46.72
4WYU_2XRW,60.13
4WYU_3ASL,8.7
4WYU_3CH8,400.04
4WYU_3D9T,41.71
4WYU_3DIW,479.17
4WYU_3DRF,33.76
4WYU_3DRG,66.61
4WYU_3EMH,32.27
4WYU_3IQG,5.1
4WYU_3IVV,57.5
4WYU_3L3X,13.26
4WYU_3OBQ,65.39
4WYU_3R42,61.28
4WYU_3RYB,24.46
4WYU_3SO6,42.48
4WYU_3SOU,-11.41
4WYU_3UPV,-3.94
4WYU_3UVK,25.05
4WYU_3UVM,30.07
4WYU_4AIF,7.13
4WYU_4APO,5.93
4WYU_4CC2,41.91
4WYU_4CY1,41.99
4WYU_4E3B,481.13
4WYU_4EQJ,93.98
4WYU_4ERY,19.64
4WYU_4EWR,52.82
4WYU_4F14,47.45
4WYU_4GNE,0.47
4WYU_4GQ6,-28.07
4WYU_4H39,-22.25
4WYU_4IKN,15.51
4WYU_4J73,27.46
4WYU_4J78,13.43
4WYU_4J81,72.69
4WYU_4JOE,436.75
4WYU_4K75,433.14
4WYU_4LN2,50.95
4WYU_4LNP,51.89
4WYU_4MDR,58.06
4WYU_4NXQ,312.54
4WYU_4O36,24.33
4WYU_4WYU,0.0
4WYU_4X3H,7.13
4WYU_4XHV,428.05
4WYU_4Y7R,-4.64
4WYU_4YSI,47.67
4WYU_4ZHL,31.8
4WYU_5A2J,52.44
4WYU_5CFA,8.99
4WYU_5E1D,79.67
4WYU_5E2Q,1.52
4WYU_5GP7,26.06
4WYU_5GU4,13.99
4WYU_5HEB,451.97
4WYU_5HEY,444.84
4WYU_5WOU,474.4
4WYU_5XHZ,71.8
4WYU_5YGF,39.85
4WYU_6CDG,26.82
4WYU_6EVN,9.59
4WYU_6IM4,16.02
4X3H_1CKA,20.62
4X3H_1D4T,48.33
4X3H_1ELW,39.86
4X3H_1FCH,35.5
4X3H_1GWR,40.88
4X3H_1JD5,20.23
4X3H_1LB6,32.55
4X3H_1MF4,34.1
4X3H_1MFG,5.51
4X3H_1OAI,53.64
4X3H_1T7R,45.17
4X3H_1X2R,25.73
4X3H_1YWO,3.95
4X3H_2HO2,9.06
4X3H_2O9V,0.4
4X3H_2OEI,16.5
4X3H_2PEH,29.57
4X3H_2PV1,24.32
4X3H_2QBW,13.67
4X3H_2WA8,42.4
4X3H_2XRW,43.5
4X3H_3ASL,1.15
4X3H_3CH8,-1.08
4X3H_3D9T,23.98
4X3H_3DIW,6.52
4X3H_3DRF,46.62
4X3H_3DRG,49.82
4X3H_3EMH,-0.59
4X3H_3IQG,21.13
4X3H_3IVV,19.08
4X3H_3L3X,51.79
4X3H_3OBQ,9.52
4X3H_3R42,31.06
4X3H_3RYB,31.83
4X3H_3SO6,43.01
4X3H_3SOU,6.02
4X3H_3UPV,57.14
4X3H_3UVK,19.54
4X3H_3UVM,-5.03
4X3H_4AIF,54.27
4X3H_4APO,57.34
4X3H_4CC2,-7.38
4X3H_4CY1,11.5
4X3H_4E3B,-2.09
4X3H_4EQJ,-19.63
4X3H_4ERY,19.7
4X3H_4EWR,18.48
4X3H_4F14,4.25
4X3H_4GNE,8.81
4X3H_4GQ6,68.8
4X3H_4H39,42.24
4X3H_4IKN,-2.91
4X3H_4J73,20.29
4X3H_4J78,-17.22
4X3H_4J81,6.92
4X3H_4JOE,5.12
4X3H_4K75,9.0
4X3H_4LN2,9.95
4X3H_4LNP,19.1
4X3H_4MDR,-3.73
4X3H_4NXQ,13.94
4X3H_4O36,14.99
4X3H_4WYU,7.13
4X3H_4X3H,0.0
4X3H_4XHV,3.27
4X3H_4Y7R,16.49
4X3H_4YSI,12.16
4X3H_4ZHL,24.38
4X3H_5A2J,-14.68
4X3H_5CFA,-31.21
4X3H_5E1D,84.57
4X3H_5E2Q,57.55
4X3H_5GP7,42.58
4X3H_5GU4,52.25
4X3H_5HEB,10.67
4X3H_5HEY,6.2
4X3H_5WOU,4.3
4X3H_5XHZ,11.29
4X3H_5YGF,28.63
4X3H_6CDG,19.0
4X3H_6EVN,58.55
4X3H_6IM4,27.32
4XHV_1CKA,61.22
4XHV_1D4T,33.25
4XHV_1ELW,-0.38
4XHV_1FCH,10.54
4XHV_1GWR,31.52
4XHV_1JD5,32.6
4XHV_1LB6,20.24
4XHV_1MF4,18.2
4XHV_1MFG,407.52
4XHV_1OAI,-2.9
4XHV_1T7R,28.06
4XHV_1X2R,6.1
4XHV_1YWO,49.29
4XHV_2HO2,20.24
4XHV_2O9V,54.95
4XHV_2OEI,25.87
4XHV_2PEH,22.53
4XHV_2PV1,15.78
4XHV_2QBW,367.66
4XHV_2WA8,24.65
4XHV_2XRW,59.94
4XHV_3ASL,9.51
4XHV_3CH8,352.57
4XHV_3D9T,10.43
4XHV_3DIW,391.34
4XHV_3DRF,42.36
4XHV_3DRG,15.9
4XHV_3EMH,31.71
4XHV_3IQG,37.76
4XHV_3IVV,39.81
4XHV_3L3X,24.22
4XHV_3OBQ,55.63
4XHV_3R42,42.32
4XHV_3RYB,38.71
4XHV_3SO6,41.88
4XHV_3SOU,2.07
4XHV_3UPV,1.35
4XHV_3UVK,44.21
4XHV_3UVM,23.44
4XHV_4AIF,-7.04
4XHV_4APO,-7.26
4XHV_4CC2,64.98
4XHV_4CY1,21.95
4XHV_4E3B,377.98
4XHV_4EQJ,68.63
4XHV_4ERY,28.39
4XHV_4EWR,22.22
4XHV_4F14,53.52
4XHV_4GNE,20.97
4XHV_4GQ6,65.63
4XHV_4H39,-12.46
4XHV_4IKN,48.07
4XHV_4J73,-5.5
4XHV_4J78,24.11
4XHV_4J81,19.16
4XHV_4JOE,404.08
4XHV_4K75,397.97
4XHV_4LN2,59.04
4XHV_4LNP,58.94
4XHV_4MDR,30.87
4XHV_4NXQ,274.6
4XHV_4O36,17.71
4XHV_4WYU,428.05
4XHV_4X3H,38.03
4XHV_4XHV,0.0
4XHV_4Y7R,46.85
4XHV_4YSI,49.27
4XHV_4ZHL,30.16
4XHV_5A2J,37.61
4XHV_5CFA,59.33
4XHV_5E1D,71.51
4XHV_5E2Q,24.96
4XHV_5GP7,20.77
4XHV_5GU4,43.21
4XHV_5HEB,410.19
4XHV_5HEY,416.47
4XHV_5WOU,383.95
4XHV_5XHZ,67.29
4XHV_5YGF,52.31
4XHV_6CDG,36.66
4XHV_6EVN,4.75
4XHV_6IM4,34.33
4Y7R_1CKA,65.13
4Y7R_1D4T,47.76
4Y7R_1ELW,-63.21
4Y7R_1FCH,-167.12
4Y7R_1GWR,-27.27
4Y7R_1JD5,-22.58
4Y7R_1LB6,77.23
4Y7R_1MF4,28.81
4Y7R_1MFG,17.35
4Y7R_1OAI,18.68
4Y7R_1T7R,-32.27
4Y7R_1X2R,484.35
4Y7R_1YWO,46.53
4Y7R_2HO2,62.74
4Y7R_2O9V,52.15
4Y7R_2OEI,68.59
4Y7R_2PEH,47.02
4Y7R_2PV1,6.04
4Y7R_2QBW,72.24
4Y7R_2WA8,26.82
4Y7R_2XRW,109.02
4Y7R_3ASL,-2.06
4Y7R_3CH8,79.99
4Y7R_3D9T,-19.23
4Y7R_3DIW,32.56
4Y7R_3DRF,44.19
4Y7R_3DRG,41.83
4Y7R_3EMH,3157.89
4Y7R_3IQG,38.02
4Y7R_3IVV,83.68
4Y7R_3L3X,-46.22
4Y7R_3OBQ,28.32
4Y7R_3R42,35.04
4Y7R_3RYB,14.82
4Y7R_3SO6,117.69
4Y7R_3SOU,17.91
4Y7R_3UPV,-81.9
4Y7R_3UVK,3127.03
4Y7R_3UVM,3210.82
4Y7R_4AIF,-12.68
4Y7R_4APO,-76.16
4Y7R_4CC2,70.09
4Y7R_4CY1,3200.97
4Y7R_4E3B,22.44
4Y7R_4EQJ,67.21
4Y7R_4ERY,3209.01
4Y7R_4EWR,3193.55
4Y7R_4F14,58.52
4Y7R_4GNE,13.24
4Y7R_4GQ6,-38.53
4Y7R_4H39,115.98
4Y7R_4IKN,76.17
4Y7R_4J73,1410.26
4Y7R_4J78,1441.91
4Y7R_4J81,1452.38
4Y7R_4JOE,5.6
4Y7R_4K75,14.18
4Y7R_4LN2,51.33
4Y7R_4LNP,57.14
4Y7R_4MDR,90.49
4Y7R_4NXQ,43.85
4Y7R_4O36,-5.65
4Y7R_4WYU,19.72
4Y7R_4X3H,-25.59
4Y7R_4XHV,15.51
4Y7R_4Y7R,0.0
4Y7R_4YSI,60.55
4Y7R_4ZHL,79.32
4Y7R_5A2J,88.78
4Y7R_5CFA,71.47
4Y7R_5E1D,37.98
4Y7R_5E2Q,-22.72
4Y7R_5GP7,-33.81
4Y7R_5GU4,64.96
4Y7R_5HEB,-8.5
4Y7R_5HEY,15.36
4Y7R_5WOU,19.93
4Y7R_5XHZ,49.61
4Y7R_5YGF,43.74
4Y7R_6CDG,73.52
4Y7R_6EVN,-33.55
4Y7R_6IM4,-145.36
4YSI_1CKA,30.1
4YSI_1D4T,52.68
4YSI_1ELW,-55.64
4YSI_1FCH,-12.89
4YSI_1GWR,-9.64
4YSI_1JD5,-28.69
4YSI_1LB6,343.75
4YSI_1MF4,13.61
4YSI_1MFG,67.69
4YSI_1OAI,-11.41
4YSI_1T7R,-43.24
4YSI_1X2R,97.66
4YSI_1YWO,16.97
4YSI_2HO2,38.97
4YSI_2O9V,13.86
4YSI_2OEI,38.71
4YSI_2PEH,29.96
4YSI_2PV1,39.23
4YSI_2QBW,67.98
4YSI_2WA8,29.87
4YSI_2XRW,58.48
4YSI_3ASL,24.15
4YSI_3CH8,68.14
4YSI_3D9T,17.79
4YSI_3DIW,66.74
4YSI_3DRF,29.57
4YSI_3DRG,35.48
4YSI_3EMH,39.32
4YSI_3IQG,41.33
4YSI_3IVV,475.73
4YSI_3L3X,-47.48
4YSI_3OBQ,71.35
4YSI_3R42,2.56
4YSI_3RYB,38.19
4YSI_3SO6,45.71
4YSI_3SOU,12.39
4YSI_3UPV,-36.44
4YSI_3UVK,62.07
4YSI_3UVM,62.51
4YSI_4AIF,-41.87
4YSI_4APO,-68.35
4YSI_4CC2,31.63
4YSI_4CY1,60.89
4YSI_4E3B,46.35
4YSI_4EQJ,49.14
4YSI_4ERY,55.09
4YSI_4EWR,66.94
4YSI_4F14,22.51
4YSI_4GNE,28.89
4YSI_4GQ6,38.6
4YSI_4H39,29.89
4YSI_4IKN,83.36
4YSI_4J73,47.7
4YSI_4J78,65.74
4YSI_4J81,49.4
4YSI_4JOE,55.32
4YSI_4K75,59.1
4YSI_4LN2,10.47
4YSI_4LNP,16.5
4YSI_4MDR,107.49
4YSI_4NXQ,78.7
4YSI_4O36,0.29
4YSI_4WYU,41.19
4YSI_4X3H,23.15
4YSI_4XHV,46.83
4YSI_4Y7R,60.01
4YSI_4YSI,0.0
4YSI_4ZHL,45.65
4YSI_5A2J,75.48
4YSI_5CFA,113.23
4YSI_5E1D,58.43
4YSI_5E2Q,44.34
4YSI_5GP7,-26.12
4YSI_5GU4,23.9
4YSI_5HEB,49.52
4YSI_5HEY,49.9
4YSI_5WOU,58.79
4YSI_5XHZ,21.16
4YSI_5YGF,28.78
4YSI_6CDG,74.67
4YSI_6EVN,5.1
4YSI_6IM4,-39.59
4ZHL_1CKA,61.42
4ZHL_1D4T,36.63
4ZHL_1ELW,16.7
4ZHL_1FCH,-73.87
4ZHL_1GWR,-20.29
4ZHL_1JD5,16.26
4ZHL_1LB6,47.69
4ZHL_1MF4,-5.8
4ZHL_1MFG,47.58
4ZHL_1OAI,21.61
4ZHL_1T7R,-51.26
4ZHL_1X2R,50.14
4ZHL_1YWO,31.69
4ZHL_2HO2,32.08
4ZHL_2O9V,53.5
4ZHL_2OEI,26.44
4ZHL_2PEH,44.13
4ZHL_2PV1,8.88
4ZHL_2QBW,51.2
4ZHL_2WA8,41.21
4ZHL_2XRW,21.77
4ZHL_3ASL,8.92
4ZHL_3CH8,31.22
4ZHL_3D9T,22.82
4ZHL_3DIW,12.49
4ZHL_3DRF,26.58
4ZHL_3DRG,1.52
4ZHL_3EMH,83.61
4ZHL_3IQG,21.13
4ZHL_3IVV,70.82
4ZHL_3L3X,-45.22
4ZHL_3OBQ,7.79
4ZHL_3R42,65.64
4ZHL_3RYB,57.03
4ZHL_3SO6,68.56
4ZHL_3SOU,22.08
4ZHL_3UPV,-4.13
4ZHL_3UVK,91.97
4ZHL_3UVM,84.63
4ZHL_4AIF,21.22
4ZHL_4APO,21.17
4ZHL_4CC2,67.66
4ZHL_4CY1,72.57
4ZHL_4E3B,53.31
4ZHL_4EQJ,57.61
4ZHL_4ERY,93.71
4ZHL_4EWR,86.63
4ZHL_4F14,42.81
4ZHL_4GNE,34.63
4ZHL_4GQ6,-15.94
4ZHL_4H39,74.3
4ZHL_4IKN,21.48
4ZHL_4J73,95.06
4ZHL_4J78,77.54
4ZHL_4J81,88.28
4ZHL_4JOE,36.19
4ZHL_4K75,26.26
4ZHL_4LN2,53.55
4ZHL_4LNP,50.99
4ZHL_4MDR,75.68
4ZHL_4NXQ,29.14
4ZHL_4O36,8.17
4ZHL_4WYU,61.97
4ZHL_4X3H,24.48
4ZHL_4XHV,12.17
4ZHL_4Y7R,68.65
4ZHL_4YSI,44.63
4ZHL_4ZHL,0.0
4ZHL_5A2J,124.44
4ZHL_5CFA,64.76
4ZHL_5E1D,10.82
4ZHL_5E2Q,33.6
4ZHL_5GP7,0.9
4ZHL_5GU4,41.05
4ZHL_5HEB,8.69
4ZHL_5HEY,87.79
4ZHL_5WOU,46.93
4ZHL_5XHZ,61.25
4ZHL_5YGF,43.69
4ZHL_6CDG,55.34
4ZHL_6EVN,26.0
4ZHL_6IM4,-103.15
5A2J_1CKA,56.09
5A2J_1D4T,36.51
5A2J_1ELW,-32.93
5A2J_1FCH,-81.01
5A2J_1GWR,-77.96
5A2J_1JD5,-7.87
5A2J_1LB6,75.77
5A2J_1MF4,20.88
5A2J_1MFG,38.04
5A2J_1OAI,-10.6
5A2J_1T7R,-42.13
5A2J_1X2R,85.38
5A2J_1YWO,50.98
5A2J_2HO2,41.69
5A2J_2O9V,51.61
5A2J_2OEI,46.2
5A2J_2PEH,15.07
5A2J_2PV1,31.05
5A2J_2QBW,127.19
5A2J_2WA8,1.87
5A2J_2XRW,50.01
5A2J_3ASL,18.93
5A2J_3CH8,85.74
5A2J_3D9T,-5.61
5A2J_3DIW,38.63
5A2J_3DRF,110.91
5A2J_3DRG,106.92
5A2J_3EMH,95.08
5A2J_3IQG,9.58
5A2J_3IVV,82.22
5A2J_3L3X,-79.73
5A2J_3OBQ,32.12
5A2J_3R42,29.93
5A2J_3RYB,104.62
5A2J_3SO6,70.48
5A2J_3SOU,12.62
5A2J_3UPV,-50.68
5A2J_3UVK,73.01
5A2J_3UVM,73.36
5A2J_4AIF,-37.21
5A2J_4APO,-67.03
5A2J_4CC2,48.33
5A2J_4CY1,115.5
5A2J_4E3B,16.02
5A2J_4EQJ,70.72
5A2J_4ERY,75.13
5A2J_4EWR,80.1
5A2J_4F14,38.49
5A2J_4GNE,17.64
5A2J_4GQ6,13.07
5A2J_4H39,-15.81
5A2J_4IKN,94.43
5A2J_4J73,92.1
5A2J_4J78,87.15
5A2J_4J81,103.03
5A2J_4JOE,32.97
5A2J_4K75,30.02
5A2J_4LN2,31.17
5A2J_4LNP,48.19
5A2J_4MDR,78.17
5A2J_4NXQ,19.76
5A2J_4O36,1.58
5A2J_4WYU,52.44
5A2J_4X3H,4.02
5A2J_4XHV,8.37
5A2J_4Y7R,93.11
5A2J_4YSI,75.48
5A2J_4ZHL,92.6
5A2J_5A2J,0.0
5A2J_5CFA,139.42
5A2J_5E1D,-31.3
5A2J_5E2Q,28.87
5A2J_5GP7,-73.74
5A2J_5GU4,2.95
5A2J_5HEB,40.67
5A2J_5HEY,62.93
5A2J_5WOU,37.97
5A2J_5XHZ,60.09
5A2J_5YGF,39.52
5A2J_6CDG,60.87
5A2J_6EVN,-21.28
5A2J_6IM4,-89.64
5CFA_1CKA,35.72
5CFA_1D4T,42.43
5CFA_1ELW,-30.45
5CFA_1FCH,-67.69
5CFA_1GWR,-46.03
5CFA_1JD5,-13.21
5CFA_1LB6,129.19
5CFA_1MF4,7.6
5CFA_1MFG,62.35
5CFA_1OAI,13.41
5CFA_1T7R,-63.82
5CFA_1X2R,48.97
5CFA_1YWO,31.73
5CFA_2HO2,40.82
5CFA_2O9V,39.04
5CFA_2OEI,42.89
5CFA_2PEH,77.02
5CFA_2PV1,14.91
5CFA_2QBW,158.92
5CFA_2WA8,-4.11
5CFA_2XRW,63.9
5CFA_3ASL,22.43
5CFA_3CH8,138.52
5CFA_3D9T,1.33
5CFA_3DIW,61.18
5CFA_3DRF,84.81
5CFA_3DRG,7.02
5CFA_3EMH,83.02
5CFA_3IQG,12.99
5CFA_3IVV,112.39
5CFA_3L3X,-15.81
5CFA_3OBQ,38.35
5CFA_3R42,26.37
5CFA_3RYB,31.23
5CFA_3SO6,41.12
5CFA_3SOU,26.52
5CFA_3UPV,-103.56
5CFA_3UVK,51.66
5CFA_3UVM,69.27
5CFA_4AIF,-67.36
5CFA_4APO,-62.77
5CFA_4CC2,46.89
5CFA_4CY1,68.4
5CFA_4E3B,31.26
5CFA_4EQJ,38.6
5CFA_4ERY,68.05
5CFA_4EWR,63.43
5CFA_4F14,28.89
5CFA_4GNE,8.02
5CFA_4GQ6,-31.59
5CFA_4H39,33.12
5CFA_4IKN,192.94
5CFA_4J73,67.57
5CFA_4J78,78.93
5CFA_4J81,80.21
5CFA_4JOE,42.11
5CFA_4K75,42.45
5CFA_4LN2,34.26
5CFA_4LNP,46.2
5CFA_4MDR,202.08
5CFA_4NXQ,73.13
5CFA_4O36,5.16
5CFA_4WYU,51.63
5CFA_4X3H,-31.21
5CFA_4XHV,57.27
5CFA_4Y7R,76.09
5CFA_4YSI,113.23
5CFA_4ZHL,83.74
5CFA_5A2J,136.81
5CFA_5CFA,0.0
5CFA_5E1D,1.44
5CFA_5E2Q,16.31
5CFA_5GP7,-14.39
5CFA_5GU4,39.17
5CFA_5HEB,31.41
5CFA_5HEY,56.87
5CFA_5WOU,58.77
5CFA_5XHZ,23.56
5CFA_5YGF,7.52
5CFA_6CDG,130.26
5CFA_6EVN,-7.47
5CFA_6IM4,-98.33
5E1D_1CKA,27.0
5E1D_1D4T,41.93
5E1D_1ELW,26.44
5E1D_1FCH,36.59
5E1D_1GWR,23.25
5E1D_1JD5,-7.78
5E1D_1LB6,51.4
5E1D_1MF4,9.29
5E1D_1MFG,52.61
5E1D_1OAI,38.4
5E1D_1T7R,5.77
5E1D_1X2R,-18.98
5E1D_1YWO,21.4
5E1D_2HO2,43.43
5E1D_2O9V,32.9
5E1D_2OEI,42.28
5E1D_2PEH,60.8
5E1D_2PV1,59.53
5E1D_2QBW,4.74
5E1D_2WA8,25.78
5E1D_2XRW,51.69
5E1D_3ASL,35.25
5E1D_3CH8,-44.37
5E1D_3D9T,29.95
5E1D_3DIW,66.53
5E1D_3DRF,82.55
5E1D_3DRG,71.12
5E1D_3EMH,37.65
5E1D_3IQG,121.47
5E1D_3IVV,23.69
5E1D_3L3X,44.37
5E1D_3OBQ,59.6
5E1D_3R42,37.16
5E1D_3RYB,74.03
5E1D_3SO6,55.99
5E1D_3SOU,36.53
5E1D_3UPV,27.54
5E1D_3UVK,45.78
5E1D_3UVM,-13.58
5E1D_4AIF,54.16
5E1D_4APO,26.44
5E1D_4CC2,38.44
5E1D_4CY1,27.53
5E1D_4E3B,62.4
5E1D_4EQJ,-15.68
5E1D_4ERY,44.05
5E1D_4EWR,27.14
5E1D_4F14,19.43
5E1D_4GNE,12.99
5E1D_4GQ6,53.66
5E1D_4H39,60.47
5E1D_4IKN,47.76
5E1D_4J73,33.78
5E1D_4J78,-1.04
5E1D_4J81,14.57
5E1D_4JOE,58.81
5E1D_4K75,58.35
5E1D_4LN2,28.9
5E1D_4LNP,35.14
5E1D_4MDR,90.52
5E1D_4NXQ,67.57
5E1D_4O36,13.57
5E1D_4WYU,52.25
5E1D_4X3H,84.57
5E1D_4XHV,71.51
5E1D_4Y7R,37.98
5E1D_4YSI,64.04
5E1D_4ZHL,10.82
5E1D_5A2J,9.87
5E1D_5CFA,17.53
5E1D_5E1D,0.0
5E1D_5E2Q,35.26
5E1D_5GP7,-6.16
5E1D_5GU4,43.73
5E1D_5HEB,64.46
5E1D_5HEY,73.87
5E1D_5WOU,62.13
5E1D_5XHZ,30.59
5E1D_5YGF,24.35
5E1D_6CDG,67.0
5E1D_6EVN,49.14
5E1D_6IM4,50.91
5E2Q_1CKA,46.99
5E2Q_1D4T,81.16
5E2Q_1ELW,119.01
5E2Q_1FCH,119.16
5E2Q_1GWR,52.37
5E2Q_1JD5,21.44
5E2Q_1LB6,3.98
5E2Q_1MF4,71.2
5E2Q_1MFG,26.48
5E2Q_1OAI,56.58
5E2Q_1T7R,43.01
5E2Q_1X2R,-64.42
5E2Q_1YWO,18.39
5E2Q_2HO2,35.33
5E2Q_2O9V,13.75
5E2Q_2OEI,42.86
5E2Q_2PEH,75.02
5E2Q_2PV1,58.51
5E2Q_2QBW,43.62
5E2Q_2WA8,36.79
5E2Q_2XRW,58.53
5E2Q_3ASL,25.2
5E2Q_3CH8,19.72
5E2Q_3D9T,24.36
5E2Q_3DIW,35.49
5E2Q_3DRF,36.08
5E2Q_3DRG,57.56
5E2Q_3EMH,-10.86
5E2Q_3IQG,32.95
5E2Q_3IVV,22.85
5E2Q_3L3X,37.27
5E2Q_3OBQ,33.08
5E2Q_3R42,64.96
5E2Q_3RYB,63.26
5E2Q_3SO6,81.96
5E2Q_3SOU,28.62
5E2Q_3UPV,97.28
5E2Q_3UVK,6.9
5E2Q_3UVM,-16.13
5E2Q_4AIF,107.82
5E2Q_4APO,105.75
5E2Q_4CC2,45.59
5E2Q_4CY1,-37.79
5E2Q_4E3B,29.33
5E2Q_4EQJ,1.07
5E2Q_4ERY,11.5
5E2Q_4EWR,-45.52
5E2Q_4F14,37.37
5E2Q_4GNE,1.63
5E2Q_4GQ6,84.68
5E2Q_4H39,26.49
5E2Q_4IKN,15.32
5E2Q_4J73,-23.78
5E2Q_4J78,20.26
5E2Q_4J81,-11.33
5E2Q_4JOE,-2.14
5E2Q_4K75,28.35
5E2Q_4LN2,41.5
5E2Q_4LNP,47.62
5E2Q_4MDR,21.23
5E2Q_4NXQ,57.12
5E2Q_4O36,15.23
5E2Q_4WYU,28.08
5E2Q_4X3H,29.48
5E2Q_4XHV,27.9
5E2Q_4Y7R,42.79
5E2Q_4YSI,45.63
5E2Q_4ZHL,54.4
5E2Q_5A2J,16.45
5E2Q_5CFA,16.31
5E2Q_5E1D,42.29
5E2Q_5E2Q,0.0
5E2Q_5GP7,46.72
5E2Q_5GU4,50.67
5E2Q_5HEB,-6.15
5E2Q_5HEY,28.44
5E2Q_5WOU,20.74
5E2Q_5XHZ,38.88
5E2Q_5YGF,60.26
5E2Q_6CDG,58.15
5E2Q_6EVN,71.89
5E2Q_6IM4,38.97
5GP7_1CKA,39.72
5GP7_1D4T,7.12
5GP7_1ELW,40.88
5GP7_1FCH,72.15
5GP7_1GWR,53.24
5GP7_1JD5,58.37
5GP7_1LB6,27.12
5GP7_1MF4,23.04
5GP7_1MFG,26.86
5GP7_1OAI,56.12
5GP7_1T7R,71.31
5GP7_1X2R,-21.84
5GP7_1YWO,2.46
5GP7_2HO2,13.87
5GP7_2O9V,-17.01
5GP7_2OEI,10.82
5GP7_2PEH,21.9
5GP7_2PV1,77.9
5GP7_2QBW,-22.53
5GP7_2WA8,25.62
5GP7_2XRW,56.36
5GP7_3ASL,21.65
5GP7_3CH8,-1.3
5GP7_3D9T,52.28
5GP7_3DIW,6.13
5GP7_3DRF,28.95
5GP7_3DRG,23.64
5GP7_3EMH,-31.28
5GP7_3IQG,76.42
5GP7_3IVV,-22.85
5GP7_3L3X,69.08
5GP7_3OBQ,-9.45
5GP7_3R42,-2.65
5GP7_3RYB,73.41
5GP7_3SO6,14.69
5GP7_3SOU,28.4
